City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,2022-06-02 18:38:12,-54.8,-68.3,37.06,65,0,1.14,clear sky
1,Aljezur,PT,2022-06-02 18:42:40,37.3191,-8.8033,66.4,76,5,9.24,clear sky
2,Punta Arenas,CL,2022-06-02 18:42:40,-53.15,-70.9167,41.11,75,20,13.8,few clouds
3,Oksfjord,NO,2022-06-02 18:42:41,70.2396,22.3479,62.01,48,82,5.73,broken clouds
4,Hirara,JP,2022-06-02 18:42:41,24.8,125.2833,81.46,88,93,11.48,moderate rain
5,Broome,US,2022-06-02 18:42:42,42.2506,-75.833,76.69,57,0,5.75,clear sky
6,Vaini,TO,2022-06-02 18:42:42,-21.2,-175.2,75.36,94,75,3.44,broken clouds
7,Ewa Beach,US,2022-06-02 18:42:42,21.3156,-158.0072,78.75,68,75,9.22,broken clouds
8,Ratnagiri,IN,2022-06-02 18:42:43,16.9833,73.3,82.6,80,100,6.85,overcast clouds
9,Yerbogachen,RU,2022-06-02 18:42:43,61.2767,108.0108,54.52,60,100,5.1,overcast clouds
10,Byron Bay,AU,2022-06-02 18:41:37,-28.65,153.6167,46.94,81,5,3.15,clear sky
11,Mataura,NZ,2022-06-02 18:42:44,-46.1927,168.8643,46.47,91,100,7.02,overcast clouds
12,Port Hardy,CA,2022-06-02 18:42:15,50.6996,-127.4199,55.58,100,100,5.75,mist
13,Hithadhoo,MV,2022-06-02 18:42:44,-0.6,73.0833,83.19,73,100,10.78,overcast clouds
14,Dikson,RU,2022-06-02 18:42:44,73.5069,80.5464,29.44,87,100,30.96,overcast clouds
15,Rikitea,PF,2022-06-02 18:42:45,-23.1203,-134.9692,77.43,79,47,18.97,scattered clouds
16,Tiksi,RU,2022-06-02 18:42:45,71.6872,128.8694,31.73,96,100,6.11,overcast clouds
17,Port Alfred,ZA,2022-06-02 18:42:46,-33.5906,26.891,57.61,81,1,4.61,clear sky
18,Dingle,PH,2022-06-02 18:42:47,10.9995,122.6711,76.55,89,75,1.68,broken clouds
19,Luderitz,NA,2022-06-02 18:42:47,-26.6481,15.1594,63.84,39,0,2.73,clear sky
20,Camargo,MX,2022-06-02 18:42:48,27.6667,-105.1667,94.06,19,100,8.52,overcast clouds
21,Bluff,NZ,2022-06-02 18:42:48,-46.6,168.3333,46.8,69,100,17.76,overcast clouds
22,Paita,PE,2022-06-02 18:42:48,-5.0892,-81.1144,71.55,67,12,14.27,few clouds
23,Kruisfontein,ZA,2022-06-02 18:42:49,-34.0033,24.7314,50.88,88,0,3.4,clear sky
24,Ilulissat,GL,2022-06-02 18:42:49,69.2167,-51.1,37.42,65,20,8.05,few clouds
25,Klaksvik,FO,2022-06-02 18:42:49,62.2266,-6.589,47.32,86,34,6.8,scattered clouds
26,Aksarka,RU,2022-06-02 18:42:50,66.5606,67.7975,30.04,63,8,21.99,clear sky
27,Araouane,ML,2022-06-02 18:42:50,18.9048,-3.5265,101.07,8,100,10.18,overcast clouds
28,Coquimbo,CL,2022-06-02 18:42:50,-29.9533,-71.3436,60.53,51,0,11.5,clear sky
29,Kokkola,FI,2022-06-02 18:42:51,63.8385,23.1307,55.92,91,100,4.61,overcast clouds
30,Zyryanka,RU,2022-06-02 18:42:51,65.75,150.85,55.29,39,22,7.78,few clouds
31,Thompson,CA,2022-06-02 18:42:52,55.7435,-97.8558,41.16,87,100,11.5,overcast clouds
32,Saint-Augustin,CA,2022-06-02 18:42:52,51.226,-58.6502,49.21,72,100,27.76,overcast clouds
33,Lakatoro,VU,2022-06-02 18:42:52,-16.0999,167.4164,78.15,85,35,5.77,scattered clouds
34,Busselton,AU,2022-06-02 18:42:53,-33.65,115.3333,56.98,71,100,7.81,overcast clouds
35,Airai,TL,2022-06-02 18:42:53,-8.9266,125.4092,59.99,94,75,0.92,broken clouds
36,Chara,RU,2022-06-02 18:42:53,56.9064,118.2631,49.1,76,54,2.95,broken clouds
37,Cape Town,ZA,2022-06-02 18:42:54,-33.9258,18.4232,59.92,74,0,5.99,clear sky
38,Hobart,AU,2022-06-02 18:40:07,-42.8794,147.3294,47.23,83,100,8.05,overcast clouds
39,Kavieng,PG,2022-06-02 18:42:54,-2.5744,150.7967,80.76,71,82,8.41,broken clouds
40,Kaitangata,NZ,2022-06-02 18:42:55,-46.2817,169.8464,46.11,85,100,15.01,overcast clouds
41,Magburaka,SL,2022-06-02 18:42:55,8.7167,-11.95,78.91,86,46,6.69,light rain
42,New Norfolk,AU,2022-06-02 18:42:55,-42.7826,147.0587,46.89,82,100,2.71,light rain
43,Maningrida,AU,2022-06-02 18:42:56,-12.0667,134.2667,72.09,95,18,8.1,few clouds
44,Olafsvik,IS,2022-06-02 18:42:56,64.8945,-23.7142,47.28,83,100,12.64,light rain
45,Lompoc,US,2022-06-02 18:40:14,34.6391,-120.4579,88.02,65,0,11.5,clear sky
46,Inhambane,MZ,2022-06-02 18:43:57,-23.865,35.3833,66.18,94,40,9.22,scattered clouds
47,Svetlaya,RU,2022-06-02 18:43:57,46.5389,138.3297,44.15,95,100,13.04,overcast clouds
48,Tuktoyaktuk,CA,2022-06-02 18:43:58,69.4541,-133.0374,33.8,86,100,13.8,mist
49,Georgetown,MY,2022-06-02 18:41:37,5.4112,100.3354,82.33,88,20,0.0,few clouds
50,Alta Floresta,BR,2022-06-02 18:43:58,-9.8756,-56.0861,96.62,44,40,4.61,scattered clouds
51,Arlit,NE,2022-06-02 18:43:59,18.7369,7.3853,97.68,8,84,10.07,broken clouds
52,Kousseri,CM,2022-06-02 18:43:59,12.0769,15.0306,96.58,10,0,6.29,clear sky
53,Playas,EC,2022-06-02 18:43:59,-2.6333,-80.3833,75.6,75,20,13.65,few clouds
54,Butaritari,KI,2022-06-02 18:44:00,3.0707,172.7902,81.0,68,59,4.81,broken clouds
55,Comodoro Rivadavia,AR,2022-06-02 18:44:00,-45.8667,-67.5,48.06,43,0,13.8,clear sky
56,Torbay,CA,2022-06-02 18:43:16,47.6666,-52.7314,43.75,95,100,23.02,fog
57,Namibe,AO,2022-06-02 18:44:01,-15.1961,12.1522,72.63,81,4,7.92,clear sky
58,Pacific Grove,US,2022-06-02 18:44:01,36.6177,-121.9166,74.25,82,0,11.5,clear sky
59,Ahuimanu,US,2022-06-02 18:44:02,21.4447,-157.8378,78.51,77,75,10.36,broken clouds
60,Dunedin,NZ,2022-06-02 18:44:02,-45.8742,170.5036,46.8,72,100,15.01,overcast clouds
61,Pisco,PE,2022-06-02 18:44:02,-13.7,-76.2167,65.01,82,20,9.22,mist
62,Jamestown,US,2022-06-02 18:42:07,42.097,-79.2353,74.52,56,0,13.8,clear sky
63,Bondoukou,CI,2022-06-02 18:44:03,8.0333,-2.8,81.3,65,11,5.39,few clouds
64,Albany,US,2022-06-02 18:42:13,42.6001,-73.9662,75.88,65,100,6.96,overcast clouds
65,Artvin,TR,2022-06-02 18:44:03,41.1667,41.8333,66.99,75,100,5.35,overcast clouds
66,Nikolskoye,RU,2022-06-02 18:44:04,59.7035,30.7861,62.49,66,98,4.52,overcast clouds
67,Fairbanks,US,2022-06-02 18:44:04,64.8378,-147.7164,70.48,41,40,4.61,scattered clouds
68,Marzuq,YE,2022-06-02 18:44:05,14.4,46.4667,77.63,41,14,3.51,few clouds
69,Necochea,AR,2022-06-02 18:44:05,-38.5473,-58.7368,47.39,63,88,3.83,overcast clouds
70,Harer,ET,2022-06-02 18:44:05,9.3094,42.1258,59.5,83,12,6.24,few clouds
71,Phuket,TH,2022-06-02 18:44:06,8.0,98.25,86.09,89,20,4.61,few clouds
72,Kieta,PG,2022-06-02 18:44:06,-6.2167,155.6333,76.71,86,8,2.57,clear sky
73,Mar Del Plata,AR,2022-06-02 18:42:59,-38.0023,-57.5575,53.1,56,40,4.61,scattered clouds
74,Ridgetown,CA,2022-06-02 18:44:07,42.4334,-81.8998,57.06,58,100,8.7,overcast clouds
75,Hilo,US,2022-06-02 18:44:07,19.7297,-155.09,87.28,65,20,5.75,few clouds
76,San Patricio,US,2022-06-02 18:44:07,28.017,-97.5169,94.15,33,4,10.0,clear sky
77,Tam Ky,VN,2022-06-02 18:44:08,15.5667,108.4833,77.83,90,100,4.81,overcast clouds
78,Half Moon Bay,US,2022-06-02 18:44:08,37.4636,-122.4286,81.88,70,75,16.11,mist
79,Fez,MA,2022-06-02 18:40:15,34.0372,-4.9998,75.45,53,75,4.61,broken clouds
80,Saskylakh,RU,2022-06-02 18:44:09,71.9167,114.0833,34.75,95,100,3.67,overcast clouds
81,Faya,SA,2022-06-02 18:44:09,18.3851,42.4509,78.91,14,2,10.83,clear sky
82,Takaka,NZ,2022-06-02 18:44:10,-40.85,172.8,49.55,85,3,3.38,clear sky
83,Longyearbyen,SJ,2022-06-02 18:42:29,78.2186,15.6401,48.04,66,0,18.41,clear sky
84,Roma,US,2022-06-02 18:44:10,43.2128,-75.4557,72.95,69,20,5.75,few clouds
85,Berlevag,NO,2022-06-02 18:44:11,70.8578,29.0864,58.8,81,0,19.57,clear sky
86,Zhangye,CN,2022-06-02 18:44:11,38.9342,100.4517,63.09,65,100,3.18,overcast clouds
87,Atuona,PF,2022-06-02 18:44:12,-9.8,-139.0333,78.78,71,6,19.51,clear sky
88,Chifeng,CN,2022-06-02 18:44:12,42.2683,118.9636,75.24,23,100,13.58,overcast clouds
89,Lebu,CL,2022-06-02 18:44:12,-37.6167,-73.65,53.94,61,100,14.88,overcast clouds
90,Tangkak,MY,2022-06-02 18:44:13,2.2673,102.5453,76.87,90,99,0.85,overcast clouds
91,Hakkari,TR,2022-06-02 18:44:13,37.5833,44.1667,62.38,51,40,1.14,scattered clouds
92,Hofn,IS,2022-06-02 18:45:13,64.2539,-15.2082,50.59,82,100,14.79,overcast clouds
93,Portland,US,2022-06-02 18:43:28,45.5234,-122.6762,71.92,72,75,5.01,broken clouds
94,Saint-Pierre,RE,2022-06-02 18:45:14,-21.3393,55.4781,69.48,73,20,8.05,few clouds
95,Sain Alto,MX,2022-06-02 18:45:14,23.5833,-103.25,83.26,24,4,9.75,clear sky
96,Saint Anthony,US,2022-06-02 18:45:15,45.0205,-93.218,77.25,28,0,18.41,clear sky
97,Sao Filipe,CV,2022-06-02 18:45:15,14.8961,-24.4956,76.93,71,71,11.52,broken clouds
98,Chokurdakh,RU,2022-06-02 18:45:16,70.6333,147.9167,34.59,76,89,9.06,overcast clouds
99,Wanaka,NZ,2022-06-02 18:45:16,-44.7,169.15,48.11,62,97,5.01,overcast clouds
100,Puerto Ayora,EC,2022-06-02 18:44:58,-0.7393,-90.3518,76.96,95,83,10.0,broken clouds
101,Faanui,PF,2022-06-02 18:45:17,-16.4833,-151.75,78.76,78,100,13.87,light rain
102,East London,ZA,2022-06-02 18:45:17,-33.0153,27.9116,54.54,87,0,5.75,clear sky
103,Hasaki,JP,2022-06-02 18:45:18,35.7333,140.8333,63.28,83,85,14.16,overcast clouds
104,Saint-Philippe,RE,2022-06-02 18:45:18,-21.3585,55.7679,69.39,80,0,5.66,clear sky
105,Malpe,IN,2022-06-02 18:45:19,13.35,74.7167,81.7,81,100,4.81,overcast clouds
106,Ilebo,CD,2022-06-02 18:45:19,-4.3167,20.5833,76.15,70,41,1.7,light rain
107,Khatanga,RU,2022-06-02 18:45:19,71.9667,102.5,47.91,68,91,8.81,overcast clouds
108,Esperance,AU,2022-06-02 18:41:00,-33.8667,121.9,57.47,73,100,15.77,overcast clouds
109,Seoul,KR,2022-06-02 18:45:20,37.5683,126.9778,65.77,79,75,4.61,broken clouds
110,Port Elizabeth,ZA,2022-06-02 18:45:20,-33.918,25.5701,53.1,91,0,4.61,clear sky
111,Udachnyy,RU,2022-06-02 18:45:20,66.4167,112.4,52.45,66,94,4.92,overcast clouds
112,Hit,IQ,2022-06-02 18:45:21,33.6416,42.8251,97.03,8,100,2.64,overcast clouds
113,Figeac,FR,2022-06-02 18:45:21,44.75,1.9167,79.18,85,91,6.4,overcast clouds
114,Pochutla,MX,2022-06-02 18:45:22,15.7432,-96.4661,87.82,65,97,6.26,overcast clouds
115,Castro,BR,2022-06-02 18:45:22,-24.7911,-50.0119,59.74,94,100,3.11,moderate rain
116,Avera,US,2022-06-02 18:45:23,33.194,-82.5271,94.55,25,6,7.23,clear sky
117,Cuencame,MX,2022-06-02 18:45:23,24.8711,-103.6964,88.34,23,5,8.05,clear sky
118,Tsumeb,NA,2022-06-02 18:45:24,-19.2333,17.7167,56.84,35,5,10.38,clear sky
119,Tagusao,PH,2022-06-02 18:45:25,9.1924,117.8141,79.66,81,100,3.98,overcast clouds
120,Huangnihe,CN,2022-06-02 18:45:25,43.5583,128.0239,47.8,90,100,2.42,overcast clouds
121,Mahebourg,MU,2022-06-02 18:45:26,-20.4081,57.7,73.69,78,75,5.75,broken clouds
122,Bredasdorp,ZA,2022-06-02 18:45:26,-34.5322,20.0403,53.02,78,5,3.11,clear sky
123,Port Augusta,AU,2022-06-02 18:45:26,-32.5,137.7667,50.85,86,100,8.32,overcast clouds
124,Harper,LR,2022-06-02 18:45:27,4.375,-7.7169,78.76,85,70,7.76,broken clouds
125,Provideniya,RU,2022-06-02 18:45:27,64.3833,-173.3,43.38,79,28,4.88,scattered clouds
126,Noumea,NC,2022-06-02 18:45:27,-22.2763,166.4572,73.0,99,100,4.47,overcast clouds
127,Bethel,US,2022-06-02 18:44:37,41.3712,-73.414,76.15,79,100,1.01,overcast clouds
128,Ancud,CL,2022-06-02 18:45:28,-41.8697,-73.8203,46.22,65,100,6.17,overcast clouds
129,Asau,RO,2022-06-02 18:45:28,46.4333,26.4,76.12,85,100,6.35,overcast clouds
130,Qaanaaq,GL,2022-06-02 18:45:29,77.484,-69.3632,30.42,82,98,10.2,overcast clouds
131,Mehamn,NO,2022-06-02 18:45:29,71.0357,27.8492,46.31,64,16,12.08,few clouds
132,Zhigansk,RU,2022-06-02 18:45:29,66.7697,123.3711,46.53,91,6,7.61,clear sky
133,Lagoa,PT,2022-06-02 18:45:30,39.05,-27.9833,63.01,93,28,9.17,scattered clouds
134,Kibala,TD,2022-06-02 18:45:31,9.1104,18.3463,84.15,74,0,0.0,clear sky
135,Wageningen,NL,2022-06-02 18:45:31,51.9667,5.6667,64.78,51,100,4.61,overcast clouds
136,Antofagasta,CL,2022-06-02 18:45:05,-23.65,-70.4,67.21,52,5,8.9,clear sky
137,Balkhash,KZ,2022-06-02 18:45:32,46.844,74.9804,67.14,33,13,6.78,few clouds
138,Umm Lajj,SA,2022-06-02 18:46:32,25.0213,37.2685,87.8,42,100,7.4,overcast clouds
139,Pevek,RU,2022-06-02 18:46:33,69.7008,170.3133,32.86,96,100,7.94,snow
140,Valley City,US,2022-06-02 18:46:33,46.9233,-98.0032,68.52,30,0,24.16,clear sky
141,Suez,EG,2022-06-02 18:46:34,29.9737,32.5263,80.53,31,0,4.18,clear sky
142,Tasiilaq,GL,2022-06-02 18:46:34,65.6145,-37.6368,35.76,90,76,2.68,broken clouds
143,Upernavik,GL,2022-06-02 18:46:34,72.7868,-56.1549,30.96,63,100,1.63,overcast clouds
144,Kaseda,JP,2022-06-02 18:46:35,31.4167,130.3167,66.24,87,72,4.63,broken clouds
145,North Battleford,CA,2022-06-02 18:46:35,52.7834,-108.2847,64.49,25,0,14.97,clear sky
146,Kodiak,US,2022-06-02 18:46:35,57.79,-152.4072,65.71,34,75,8.05,broken clouds
147,Waipawa,NZ,2022-06-02 18:46:36,-41.4122,175.5153,49.62,89,90,6.89,overcast clouds
148,Goderich,CA,2022-06-02 18:46:36,43.7501,-81.7165,54.91,71,16,3.44,few clouds
149,Onega,RU,2022-06-02 18:46:36,63.9061,38.1404,59.07,93,100,6.35,overcast clouds
150,Trogir,HR,2022-06-02 18:46:37,43.5125,16.2517,80.65,47,0,3.44,clear sky
151,Vardo,NO,2022-06-02 18:46:37,70.3705,31.1107,44.58,81,0,5.75,clear sky
152,Micomeseng,GQ,2022-06-02 18:46:38,2.1462,10.6164,70.16,98,99,2.13,overcast clouds
153,Lisa,RO,2022-06-02 18:46:38,43.8,25.1333,76.03,48,15,2.08,few clouds
154,Rio Cauto,CU,2022-06-02 18:46:38,20.5603,-76.9161,93.51,42,98,1.61,overcast clouds
155,Huntingdon,GB,2022-06-02 18:46:39,52.3305,-0.1865,63.93,57,52,8.01,broken clouds
156,Bengkulu,ID,2022-06-02 18:46:39,-3.8004,102.2655,74.7,90,36,3.69,scattered clouds
157,Ribeira Grande,PT,2022-06-02 18:46:39,38.5167,-28.7,68.4,77,20,11.5,few clouds
158,Labuhan,ID,2022-06-02 18:46:40,-6.8844,112.2051,77.13,85,52,8.63,broken clouds
159,Aasiaat,GL,2022-06-02 18:46:40,68.7098,-52.8699,33.67,74,35,6.71,scattered clouds
160,Lima,PE,2022-06-02 18:43:27,-12.0432,-77.0282,69.39,77,75,6.91,broken clouds
161,Nanakuli,US,2022-06-02 18:46:41,21.3906,-158.1547,78.75,62,75,4.61,broken clouds
162,Hermanus,ZA,2022-06-02 18:46:41,-34.4187,19.2345,57.22,73,3,6.33,clear sky
163,Aniche,FR,2022-06-02 18:46:42,50.33,3.2535,67.96,66,4,7.9,clear sky
164,Sarangani,PH,2022-06-02 18:46:42,5.4033,125.4636,82.56,74,100,4.59,overcast clouds
165,Mirwah,YE,2022-06-02 18:46:42,13.9228,43.9176,78.96,52,83,3.29,broken clouds
166,Vao,NC,2022-06-02 18:46:43,-22.6667,167.4833,72.43,64,100,9.42,overcast clouds
167,Ust-Kuyga,RU,2022-06-02 18:46:43,70.0167,135.6,40.19,80,100,4.21,overcast clouds
168,Kupang,ID,2022-06-02 18:46:43,-10.1667,123.5833,77.09,88,89,4.52,overcast clouds
169,Turukhansk,RU,2022-06-02 18:46:44,65.8167,87.9833,38.88,71,100,16.69,overcast clouds
170,That Phanom,TH,2022-06-02 18:46:44,16.9364,104.7104,78.31,86,100,6.53,light rain
171,Nampa,US,2022-06-02 18:46:45,43.5407,-116.5635,79.84,37,0,12.66,clear sky
172,Halayhay,PH,2022-06-02 18:46:45,14.3739,120.8133,83.19,79,100,5.53,overcast clouds
173,Muravlenko,RU,2022-06-02 18:46:45,63.7898,74.523,30.22,83,93,23.53,overcast clouds
174,Nyurba,RU,2022-06-02 18:46:46,63.2842,118.3319,51.01,73,10,5.08,clear sky
175,Kerchevskiy,RU,2022-06-02 18:46:46,59.946,56.2884,54.52,94,37,4.56,scattered clouds
176,Itaituba,BR,2022-06-02 18:46:47,-4.2761,-55.9836,89.76,62,40,3.44,scattered clouds
177,Mormugao,IN,2022-06-02 18:46:47,15.4,73.8,76.26,88,75,6.91,broken clouds
178,Clyde River,CA,2022-06-02 18:46:47,70.4692,-68.5914,44.83,65,75,6.91,broken clouds
179,Miram Shah,PK,2022-06-02 18:46:48,33.0086,70.0697,80.13,17,3,4.05,clear sky
180,Batagay-Alyta,RU,2022-06-02 18:46:48,67.8006,130.4114,40.14,94,100,3.24,overcast clouds
181,Baie-Comeau,CA,2022-06-02 18:46:48,49.2168,-68.1489,55.08,54,0,6.91,clear sky
182,Warwick,US,2022-06-02 18:41:57,41.7001,-71.4162,76.75,71,75,6.91,broken clouds
183,Avarua,CK,2022-06-02 18:46:49,-21.2078,-159.775,75.25,64,99,14.97,overcast clouds
184,Tarazona,ES,2022-06-02 18:47:49,41.9,-1.7333,85.82,30,100,12.5,overcast clouds
185,Maneadero,MX,2022-06-02 18:47:50,31.7167,-116.5667,68.11,77,16,3.0,few clouds
186,Egvekinot,RU,2022-06-02 18:47:50,66.3167,-179.1667,34.32,84,77,7.09,broken clouds
187,Bandarbeyla,SO,2022-06-02 18:47:51,9.4942,50.8122,78.87,80,49,30.65,scattered clouds
188,Barrow,US,2022-06-02 18:47:51,71.2906,-156.7887,24.82,86,100,8.05,overcast clouds
189,Talcahuano,CL,2022-06-02 18:45:15,-36.7167,-73.1167,55.08,62,75,11.5,broken clouds
190,Algeciras,ES,2022-06-02 18:45:17,36.1333,-5.4505,71.28,64,20,16.11,few clouds
191,Iqaluit,CA,2022-06-02 18:47:52,63.7506,-68.5145,40.73,65,20,3.44,few clouds
192,Flin Flon,CA,2022-06-02 18:47:52,54.7682,-101.865,40.84,75,75,20.71,broken clouds
193,Adrar,MR,2022-06-02 18:47:52,20.5022,-10.0711,97.59,17,100,14.97,overcast clouds
194,Naryan-Mar,RU,2022-06-02 18:47:53,67.6713,53.087,41.02,39,6,14.12,clear sky
195,Iyo,JP,2022-06-02 18:47:53,33.7514,132.7014,65.41,66,0,4.79,clear sky
196,Itarema,BR,2022-06-02 18:47:54,-2.9248,-39.9167,79.77,85,100,9.37,light rain
197,Rameshki,RU,2022-06-02 18:47:54,57.3439,36.0453,59.58,95,71,2.71,broken clouds
198,Svetlogorsk,BY,2022-06-02 18:47:54,52.6333,29.7333,56.21,97,100,7.9,overcast clouds
199,Carnarvon,AU,2022-06-02 18:47:55,-24.8667,113.6333,63.18,48,0,15.61,clear sky
200,Zalantun,CN,2022-06-02 18:47:55,48.0,122.7167,54.84,80,97,3.04,overcast clouds
201,Kapaa,US,2022-06-02 18:47:56,22.0752,-159.319,79.12,81,40,8.05,scattered clouds
202,Asfi,MA,2022-06-02 18:47:56,32.2994,-9.2372,68.43,73,0,8.81,clear sky
203,San Quintin,MX,2022-06-02 18:47:56,30.4833,-115.95,68.16,65,2,10.6,clear sky
204,Cockburn Town,TC,2022-06-02 18:47:57,21.4612,-71.1419,80.55,77,100,14.88,overcast clouds
205,Koryazhma,RU,2022-06-02 18:47:57,61.3143,47.1691,61.54,75,47,3.29,scattered clouds
206,Kijang,KR,2022-06-02 18:47:58,35.2442,129.2139,65.93,74,2,4.74,clear sky
207,Usinsk,RU,2022-06-02 18:47:58,65.9939,57.5281,40.19,38,0,14.34,clear sky
208,Maarianhamina,AX,2022-06-02 18:47:58,60.0973,19.9348,49.86,93,20,9.22,few clouds
209,Vanavara,RU,2022-06-02 18:47:59,60.34,102.2797,48.58,97,88,7.34,overcast clouds
210,Nanortalik,GL,2022-06-02 18:47:59,60.1432,-45.2371,40.55,79,17,1.68,few clouds
211,Cherskiy,RU,2022-06-02 18:48:00,68.75,161.3,39.45,71,100,12.01,overcast clouds
212,Yuanping,CN,2022-06-02 18:48:00,38.7153,112.7575,67.37,40,89,0.27,overcast clouds
213,Wagar,SD,2022-06-02 18:48:00,16.1525,36.2032,97.36,9,93,17.27,overcast clouds
214,Buchanan,LR,2022-06-02 18:48:01,5.8808,-10.0467,79.27,85,100,8.12,light rain
215,Skjervoy,NO,2022-06-02 18:48:01,70.0311,20.9714,62.6,60,40,11.65,scattered clouds
216,Grand Gaube,MU,2022-06-02 18:48:01,-20.0064,57.6608,73.8,77,9,5.01,clear sky
217,Lerwick,GB,2022-06-02 18:48:02,60.1545,-1.1494,51.8,80,14,12.91,few clouds
218,Shubarkuduk,KZ,2022-06-02 18:48:02,49.1447,56.4872,65.37,49,0,6.67,clear sky
219,Rocha,UY,2022-06-02 18:44:26,-34.4833,-54.3333,48.94,63,100,9.51,overcast clouds
220,Qui Nhon,VN,2022-06-02 18:46:45,13.7667,109.2333,79.25,80,100,5.3,overcast clouds
221,Cabo San Lucas,MX,2022-06-02 18:45:30,22.8909,-109.9124,84.61,67,4,11.45,clear sky
222,Wladyslawowo,PL,2022-06-02 18:48:24,54.7909,18.4009,58.55,81,12,13.51,few clouds
223,Bay Roberts,CA,2022-06-02 18:48:24,47.5999,-53.2648,44.51,90,100,10.0,overcast clouds
224,Vredendal,ZA,2022-06-02 18:48:25,-31.6683,18.5012,57.25,39,0,2.95,clear sky
225,Yerofey Pavlovich,RU,2022-06-02 18:48:25,53.9667,121.9667,45.23,92,100,4.68,overcast clouds
226,Dasoguz,TM,2022-06-02 18:48:26,41.8363,59.9666,73.35,35,0,16.11,clear sky
227,Northam,GB,2022-06-02 18:48:26,51.0333,-4.2167,61.66,77,13,3.91,few clouds
228,Leningradskiy,RU,2022-06-02 18:48:27,69.3833,178.4167,55.33,39,100,14.5,overcast clouds
229,Oltu,TR,2022-06-02 18:48:27,40.5498,42.0013,60.55,81,100,4.05,overcast clouds
230,Manono,CD,2022-06-02 18:49:28,-7.3,27.4167,73.78,48,2,5.14,clear sky
231,Bambous Virieux,MU,2022-06-02 18:49:28,-20.3428,57.7575,73.65,78,75,5.75,broken clouds
232,Bontang,ID,2022-06-02 18:49:28,0.1333,117.5,78.87,84,100,1.12,overcast clouds
233,Santa Cruz,BO,2022-06-02 18:49:29,-17.8,-63.1667,65.66,55,75,17.27,broken clouds
234,Severo-Kurilsk,RU,2022-06-02 18:49:29,50.6789,156.125,42.4,90,100,5.12,light rain
235,Rexburg,US,2022-06-02 18:49:07,43.826,-111.7897,73.42,32,0,5.75,clear sky
236,Boa Vista,BR,2022-06-02 18:49:30,2.8197,-60.6733,84.18,70,75,9.22,broken clouds
237,Tabou,CI,2022-06-02 18:49:30,4.423,-7.3528,79.11,84,75,7.65,broken clouds
238,Mezen,RU,2022-06-02 18:49:30,65.8522,44.24,60.49,52,13,8.95,few clouds
